  Learning Rate    Number of Iterations    Tolerance  Initial Coefficients                        Training MSE    Testing MSE
---------------  ----------------------  -----------  ----------------------------------------  --------------  -------------
         0.001                       10        1e-05  [[0.0], [0], [0.0], [0.0]]                     0.0000023      0.0000022
         0.001                       10        1e-05  [[0.0001], [0.0001], [0.0001], [0.0001]]       0.1201006      0.1186574
         0.001                       10        1e-05  [[0.001], [0.001], [0.001], [0.001]]           0.4794791      0.4736510
         0.001                       10        1e-06  [[0.0], [0], [0.0], [0.0]]                     0.0000023      0.0000022
         0.001                       10        1e-06  [[0.0001], [0.0001], [0.0001], [0.0001]]       0.1201006      0.1186574
         0.001                       10        1e-06  [[0.001], [0.001], [0.001], [0.001]]           0.4794791      0.4736510
         0.001                       10        1e-07  [[0.0], [0], [0.0], [0.0]]                     0.0000023      0.0000022
         0.001                       10        1e-07  [[0.0001], [0.0001], [0.0001], [0.0001]]       0.1201006      0.1186574
         0.001                       10        1e-07  [[0.001], [0.001], [0.001], [0.001]]           0.4794791      0.4736510
         0.001                      100        1e-05  [[0.0], [0], [0.0], [0.0]]                     0.0000021      0.0000020
         0.001                      100        1e-05  [[0.0001], [0.0001], [0.0001], [0.0001]]       0.1115912      0.1102473
         0.001                      100        1e-05  [[0.001], [0.001], [0.001], [0.001]]           0.4416479      0.4362679
         0.001                      100        1e-06  [[0.0], [0], [0.0], [0.0]]                     0.0000021      0.0000020
         0.001                      100        1e-06  [[0.0001], [0.0001], [0.0001], [0.0001]]       0.1115912      0.1102473
         0.001                      100        1e-06  [[0.001], [0.001], [0.001], [0.001]]           0.4416479      0.4362679
         0.001                      100        1e-07  [[0.0], [0], [0.0], [0.0]]                     0.0000021      0.0000020
         0.001                      100        1e-07  [[0.0001], [0.0001], [0.0001], [0.0001]]       0.1115912      0.1102473
         0.001                      100        1e-07  [[0.001], [0.001], [0.001], [0.001]]           0.4416479      0.4362679
         0.001                     1000        1e-05  [[0.0], [0], [0.0], [0.0]]                     0.0000017      0.0000016
         0.001                     1000        1e-05  [[0.0001], [0.0001], [0.0001], [0.0001]]       0.0559501      0.0552743
         0.001                     1000        1e-05  [[0.001], [0.001], [0.001], [0.001]]           0.2051641      0.2026575
         0.001                     1000        1e-06  [[0.0], [0], [0.0], [0.0]]                     0.0000017      0.0000016
         0.001                     1000        1e-06  [[0.0001], [0.0001], [0.0001], [0.0001]]       0.0559501      0.0552743
         0.001                     1000        1e-06  [[0.001], [0.001], [0.001], [0.001]]           0.2051641      0.2026575
         0.001                     1000        1e-07  [[0.0], [0], [0.0], [0.0]]                     0.0000017      0.0000016
         0.001                     1000        1e-07  [[0.0001], [0.0001], [0.0001], [0.0001]]       0.0559501      0.0552743
         0.001                     1000        1e-07  [[0.001], [0.001], [0.001], [0.001]]           0.2051641      0.2026575
         0.0001                      10        1e-05  [[0.0], [0], [0.0], [0.0]]                     0.0000023      0.0000022
         0.0001                      10        1e-05  [[0.0001], [0.0001], [0.0001], [0.0001]]       0.4830805      0.4772101
         0.0001                      10        1e-05  [[0.001], [0.001], [0.001], [0.001]]           0.5959716      0.5887212
         0.0001                      10        1e-06  [[0.0], [0], [0.0], [0.0]]                     0.0000023      0.0000022
         0.0001                      10        1e-06  [[0.0001], [0.0001], [0.0001], [0.0001]]       0.4830805      0.4772101
         0.0001                      10        1e-06  [[0.001], [0.001], [0.001], [0.001]]           0.5959716      0.5887212
         0.0001                      10        1e-07  [[0.0], [0], [0.0], [0.0]]                     0.0000023      0.0000022
         0.0001                      10        1e-07  [[0.0001], [0.0001], [0.0001], [0.0001]]       0.4830805      0.4772101
         0.0001                      10        1e-07  [[0.001], [0.001], [0.001], [0.001]]           0.5959716      0.5887212
         0.0001                     100        1e-05  [[0.0], [0], [0.0], [0.0]]                     0.0000023      0.0000022
         0.0001                     100        1e-05  [[0.0001], [0.0001], [0.0001], [0.0001]]       0.4790981      0.4732747
         0.0001                     100        1e-05  [[0.001], [0.001], [0.001], [0.001]]           0.5909408      0.5837499
         0.0001                     100        1e-06  [[0.0], [0], [0.0], [0.0]]                     0.0000023      0.0000022
         0.0001                     100        1e-06  [[0.0001], [0.0001], [0.0001], [0.0001]]       0.4790981      0.4732747
         0.0001                     100        1e-06  [[0.001], [0.001], [0.001], [0.001]]           0.5909408      0.5837499
         0.0001                     100        1e-07  [[0.0], [0], [0.0], [0.0]]                     0.0000023      0.0000022
         0.0001                     100        1e-07  [[0.0001], [0.0001], [0.0001], [0.0001]]       0.4790981      0.4732747
         0.0001                     100        1e-07  [[0.001], [0.001], [0.001], [0.001]]           0.5909408      0.5837499
         0.0001                    1000        1e-05  [[0.0], [0], [0.0], [0.0]]                     0.0000021      0.0000020
         0.0001                    1000        1e-05  [[0.0001], [0.0001], [0.0001], [0.0001]]       0.4413065      0.4359306
         0.0001                    1000        1e-05  [[0.001], [0.001], [0.001], [0.001]]           0.5432600      0.5366347
         0.0001                    1000        1e-06  [[0.0], [0], [0.0], [0.0]]                     0.0000021      0.0000020
         0.0001                    1000        1e-06  [[0.0001], [0.0001], [0.0001], [0.0001]]       0.4413065      0.4359306
         0.0001                    1000        1e-06  [[0.001], [0.001], [0.001], [0.001]]           0.5432600      0.5366347
         0.0001                    1000        1e-07  [[0.0], [0], [0.0], [0.0]]                     0.0000021      0.0000020
         0.0001                    1000        1e-07  [[0.0001], [0.0001], [0.0001], [0.0001]]       0.4413065      0.4359306
         0.0001                    1000        1e-07  [[0.001], [0.001], [0.001], [0.001]]           0.5432600      0.5366347
         1e-05                       10        1e-05  [[0.0], [0], [0.0], [0.0]]                     0.9875410      0.9875605
         1e-05                       10        1e-05  [[0.0001], [0.0001], [0.0001], [0.0001]]       0.5964246      0.5891689
         1e-05                       10        1e-05  [[0.001], [0.001], [0.001], [0.001]]           0.6098523      0.6024324
         1e-05                       10        1e-06  [[0.0], [0], [0.0], [0.0]]                     0.0000023      0.0000022
         1e-05                       10        1e-06  [[0.0001], [0.0001], [0.0001], [0.0001]]       0.5964246      0.5891689
         1e-05                       10        1e-06  [[0.001], [0.001], [0.001], [0.001]]           0.6098523      0.6024324
         1e-05                       10        1e-07  [[0.0], [0], [0.0], [0.0]]                     0.0000023      0.0000022
         1e-05                       10        1e-07  [[0.0001], [0.0001], [0.0001], [0.0001]]       0.5964246      0.5891689
         1e-05                       10        1e-07  [[0.001], [0.001], [0.001], [0.001]]           0.6098523      0.6024324
         1e-05                      100        1e-05  [[0.0], [0], [0.0], [0.0]]                     0.9875410      0.9875605
         1e-05                      100        1e-05  [[0.0001], [0.0001], [0.0001], [0.0001]]       0.5959188      0.5886691
         1e-05                      100        1e-05  [[0.001], [0.001], [0.001], [0.001]]           0.6093338      0.6019200
         1e-05                      100        1e-06  [[0.0], [0], [0.0], [0.0]]                     0.0000023      0.0000022
         1e-05                      100        1e-06  [[0.0001], [0.0001], [0.0001], [0.0001]]       0.5959188      0.5886691
         1e-05                      100        1e-06  [[0.001], [0.001], [0.001], [0.001]]           0.6093338      0.6019200
         1e-05                      100        1e-07  [[0.0], [0], [0.0], [0.0]]                     0.0000023      0.0000022
         1e-05                      100        1e-07  [[0.0001], [0.0001], [0.0001], [0.0001]]       0.5959188      0.5886691
         1e-05                      100        1e-07  [[0.001], [0.001], [0.001], [0.001]]           0.6093338      0.6019200
         1e-05                     1000        1e-05  [[0.0], [0], [0.0], [0.0]]                     0.9875410      0.9875605
         1e-05                     1000        1e-05  [[0.0001], [0.0001], [0.0001], [0.0001]]       0.5908886      0.5836983
         1e-05                     1000        1e-05  [[0.001], [0.001], [0.001], [0.001]]           0.6041768      0.5968240
         1e-05                     1000        1e-06  [[0.0], [0], [0.0], [0.0]]                     0.0000023      0.0000022
         1e-05                     1000        1e-06  [[0.0001], [0.0001], [0.0001], [0.0001]]       0.5908886      0.5836983
         1e-05                     1000        1e-06  [[0.001], [0.001], [0.001], [0.001]]           0.6041768      0.5968240
         1e-05                     1000        1e-07  [[0.0], [0], [0.0], [0.0]]                     0.0000023      0.0000022
         1e-05                     1000        1e-07  [[0.0001], [0.0001], [0.0001], [0.0001]]       0.5908886      0.5836983
         1e-05                     1000        1e-07  [[0.001], [0.001], [0.001], [0.001]]           0.6041768      0.5968240
